filename,name,color,size,gender,category,is_new,purchase_url
Pina 스터드 장식 카프스킨 드로우스트링 백_Black_Mini 1.png,Pina 스터드 장식 카프스킨 드로우스트링 백,Black,Mini,FEMALE,숄더백&크로스백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%88%84%EB%8D%94%EB%B0%B1-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/pina-%EC%8A%A4%ED%84%B0%EB%93%9C-%EC%9E%A5%EC%8B%9D-%EC%B9%B4%ED%94%84%EC%8A%A4%ED%82%A8-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1/MWDGADU03BK001.html
Pina 스터드 장식 카프스킨 드로우스트링 백팩_Black_Mini 1.png,Pina 스터드 장식 카프스킨 드로우스트링 백팩,Black,Mini,FEMALE,백팩,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EB%B0%B1%ED%8C%A9-%EB%B2%A8%ED%8A%B8%EB%B0%B1/pina-%EC%8A%A4%ED%84%B0%EB%93%9C-%EC%9E%A5%EC%8B%9D-%EC%B9%B4%ED%94%84%EC%8A%A4%ED%82%A8-%EB%93%9C%EB%A1%9C%EC%9A%B0%EC%8A%A4%ED%8A%B8%EB%A7%81-%EB%B0%B1%ED%8C%A9/MWKGATA01BK001.html
Pina 스터드 장식 카프스킨 베니티 케이스_Black_Mini 1.png,Pina 스터드 장식 카프스킨 베니티 케이스,Black,Mini,FEMALE,탑 핸들백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%88%84%EB%8D%94%EB%B0%B1-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/pina-%EC%8A%A4%ED%84%B0%EB%93%9C-%EC%9E%A5%EC%8B%9D-%EC%B9%B4%ED%94%84%EC%8A%A4%ED%82%A8-%EB%B2%A0%EB%8B%88%ED%8B%B0-%EC%BC%80%EC%9D%B4%EC%8A%A4/MWRGATA01BK001.html
Pina 스터드 장식 카프스킨 탬버린 백_Black_S 1.png,Pina 스터드 장식 카프스킨 탬버린 백,Black,S,FEMALE,숄더백&크로스백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%88%84%EB%8D%94%EB%B0%B1-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/pina-%EC%8A%A4%ED%84%B0%EB%93%9C-%EC%9E%A5%EC%8B%9D-%EC%B9%B4%ED%94%84%EC%8A%A4%ED%82%A8-%ED%83%AC%EB%B2%84%EB%A6%B0-%EB%B0%B1/MWRGAOB03BK001.html
Stark 디스코 비세토스 백팩_Cognac_M 1.png,Stark 디스코 비세토스 백팩,Cognac,M,MALE,백팩,TRUE,https://kr.mcmworldwide.com/ko_KR/%EB%82%A8%EC%84%B1/%EA%B0%80%EB%B0%A9/%EB%B0%B1%ED%8C%A9/stark-%EB%94%94%EC%8A%A4%EC%BD%94-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EB%B0%B1%ED%8C%A9/MMKGAVE02CO001.html
Toni 디스코 비세토스 탑 지퍼 쇼퍼_Cognac_M 1.png,Toni 디스코 비세토스 탑 지퍼 쇼퍼,Cognac,M,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/toni-%EB%94%94%EC%8A%A4%EC%BD%94-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%83%91-%EC%A7%80%ED%8D%BC-%EC%87%BC%ED%8D%BC/MWPGAMT01CO001.html
Toni 비세토스 탑 지퍼 쇼퍼_Beige+Black_Mini 1.png,Toni 비세토스 탑 지퍼 쇼퍼,Beige+Black,Mini,FEMALE,토트백&쇼퍼백,FALSE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/toni-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%83%91-%EC%A7%80%ED%8D%BC-%EC%87%BC%ED%8D%BC/MWPGSMT024B001.html
Toni 비세토스 탑 지퍼 쇼퍼_Black_Mini 1.png,Toni 비세토스 탑 지퍼 쇼퍼,Black,Mini,FEMALE,토트백&쇼퍼백,FALSE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/toni-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%83%91-%EC%A7%80%ED%8D%BC-%EC%87%BC%ED%8D%BC/MWPGSMT024B001.html
Toni 비세토스 탑 지퍼 쇼퍼_Cinnamon_Mini 1.png,Toni 비세토스 탑 지퍼 쇼퍼,Cinnamon,Mini,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/toni-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%83%91-%EC%A7%80%ED%8D%BC-%EC%87%BC%ED%8D%BC/MWPGSMT024B001.html
Toni 비세토스 탑 지퍼 쇼퍼_Cognac_Mini 1.png,Toni 비세토스 탑 지퍼 쇼퍼,Cognac,Mini,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/toni-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%83%91-%EC%A7%80%ED%8D%BC-%EC%87%BC%ED%8D%BC/MWPGSMT024B001.html
Toni 비세토스 탑 지퍼 쇼퍼_Khaki Moss_Mini 1.png,Toni 비세토스 탑 지퍼 쇼퍼,Khaki Moss,Mini,FEMALE,토트백&쇼퍼백,FALSE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/toni-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%83%91-%EC%A7%80%ED%8D%BC-%EC%87%BC%ED%8D%BC/MWPGSMT024B001.html
Toni 비세토스 탑 지퍼 쇼퍼_Soft Pink_Mini 1.png,Toni 비세토스 탑 지퍼 쇼퍼,Soft Pink,Mini,FEMALE,토트백&쇼퍼백,FALSE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/toni-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%83%91-%EC%A7%80%ED%8D%BC-%EC%87%BC%ED%8D%BC/MWPGSMT024B001.html
Toni 비세토스 탑 지퍼 쇼퍼_White_Mini 1.png,Toni 비세토스 탑 지퍼 쇼퍼,White,Mini,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/toni-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%83%91-%EC%A7%80%ED%8D%BC-%EC%87%BC%ED%8D%BC/MWPGSMT024B001.html
Tracy 비세토스 숄더백_Cognac_S 1.png,Tracy 비세토스 숄더백,Cognac,S,FEMALE,숄더백&크로스백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%88%84%EB%8D%94%EB%B0%B1-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/tracy-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%88%84%EB%8D%94%EB%B0%B1/MWSGAXT03CO001.html
Tracy 비세토스 호보_Cognac_L 1.png,Tracy 비세토스 호보,Cognac,L,FEMALE,숄더백&크로스백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%88%84%EB%8D%94%EB%B0%B1-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/tracy-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%98%B8%EB%B3%B4/MWHGAXT03CO001.html
